gene_bin_idx	gene_bin	n	pst_mean	lgbm_mean	pst_called	lgbm_called	klass
0	2	12200	0.9723627786885244	0.8400879454003053	0.9940983606557378	0.9647540983606557	viral
1	3-5	81845	0.9604941584702789	0.8126582912781651	0.991422811411815	0.9389089131895656	viral
2	6-10	202601	0.9758363245985948	0.8224098991634459	0.9950098962986362	0.9348423749142403	viral
3	11-20	221978	0.9889421915685337	0.8656759411287103	0.9976889601672237	0.9387957365144294	viral
4	21-50	216768	0.993576024597727	0.9113734597200781	0.999303402716268	0.9443183495718925	viral
5	51-100	56920	0.993808359100492	0.9595822594723473	0.9995783555867884	0.9785137034434294	viral
6	101-250	9574	0.9336673804052643	0.8725576033429656	0.9814079799456862	0.8984750365573428	viral
7	251-500	1774	0.7000913754227732	0.5997296947107815	0.8895152198421646	0.640924464487035	viral
8	501-1000	89	0.007820224719101125	0.0007104284361421355	0.12359550561797752	0.0	viral
9	1001-2048	116	0.5219827586206898	0.21393940448108853	0.8706896551724138	0.02586206896551724	viral
0	2	17126	0.022917855891626756	0.22450214109179203	0.10142473432208338	0.2636342403363307	non-viral
1	3-5	214605	0.01479306353533235	0.1220090594999589	0.0525383844738007	0.12409776100277253	non-viral
2	6-10	237031	0.021844134733431508	0.10650492566400824	0.05954073517809907	0.10659787116453122	non-viral
3	11-20	154794	0.02077176828559247	0.09689286267763386	0.05276044291122395	0.09144411282091038	non-viral
4	21-50	99692	0.021528153713437376	0.0791891456266204	0.05944308470087871	0.06888215704369458	non-viral
5	51-100	32401	0.020637869201567856	0.029677420572815385	0.05623283231999012	0.02410419431499028	non-viral
6	101-250	49689	0.012986536255509268	0.010968179772166705	0.06564833262895209	0.0070236873352251	non-viral
7	251-500	34315	0.010832653358589541	0.006556492384300432	0.0678129098062072	0.0031764534460148623	non-viral
8	501-1000	9431	0.0070355105503128	0.0043656693977051665	0.0585303785388612	0.0037111653059060546	non-viral
9	1001-2048	5657	0.011860526780979316	0.012385338184580003	0.0905073360438395	0.008131518472688705	non-viral
0	2	29326	0.4178993759803589	0.4805938962770836	0.47278865170838164	0.555309281865921	all
1	3-5	296450	0.2758856798785629	0.3126860248394334	0.31174903019058864	0.34905380333951763	all
2	6-10	439632	0.4614840418804818	0.436424184352999	0.49064444808385194	0.48828793172471524	all
3	11-20	376772	0.5911765070121985	0.5498270780344344	0.6094720414468167	0.5906675655303473	all
4	21-50	316460	0.687359136699741	0.6492167301472884	0.7032263161221007	0.6685363079062124	all
5	51-100	89321	0.6407928639401711	0.6222612858470664	0.6573818027115684	0.6323037135723962	all
6	101-250	59263	0.1617234952668612	0.1501588576195054	0.21359026711438842	0.15103859068896275	all
7	251-500	36089	0.04471402920557509	0.03571466415207391	0.10820471611848485	0.03452575577045637	all
8	501-1000	9520	0.007042846638655465	0.004331497502161145	0.05913865546218487	0.003676470588235294	all
9	1001-2048	5773	0.02211068768404643	0.01643527265372862	0.10618395981292222	0.0084877879785207	all
