scope	both	denovo_only	annotate_only	neither	jaccard	denovo_total	annotate_total	frac_annotate_within_denovo	frac_denovo_within_annotate
all proteins	8588	8265	2277	1639476	0.4489283847360167	16853	10865	0.7904279797514956	0.5095828635851184
homologs only	8588	2399	2277	1645342	0.6474668275030157	10987	10865	0.7904279797514956	0.7816510421407118
