cell	n	median_train_count	frac_rare_lt10	frac_absent	median_avglike_prob
annotate_only	2277	170.0	0.14492753623188406	0.03162055335968379	0.0
both	8588	443.0	0.01758267349790405	0.0017466231951560316	1.0
