band,band_lo,band_hi,depth,n_truth_classes,embedding,metric,value
"[0.30, 0.50)",0.3,0.5,L1,28,CheckAMG-PST,micro_precision,0.5515474276527331
"[0.30, 0.50)",0.3,0.5,L1,28,CheckAMG-PST,macro_precision,0.5027900905497462
"[0.30, 0.50)",0.3,0.5,L1,28,CheckAMG-PST,n,19904.0
"[0.30, 0.50)",0.3,0.5,L1,28,ESM-2,micro_precision,0.8770096463022508
"[0.30, 0.50)",0.3,0.5,L1,28,ESM-2,macro_precision,0.8409194321396904
"[0.30, 0.50)",0.3,0.5,L1,28,ESM-2,n,19904.0
"[0.30, 0.50)",0.3,0.5,L1,28,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.32546221864951763
"[0.30, 0.50)",0.3,0.5,L1,28,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.33812934158994423
"[0.30, 0.50)",0.3,0.5,L1,28,ESM-2 minus CheckAMG-PST,n,19904.0
"[0.30, 0.50)",0.3,0.5,specific,3016,CheckAMG-PST,micro_precision,0.3243378812199037
"[0.30, 0.50)",0.3,0.5,specific,3016,CheckAMG-PST,macro_precision,0.1968494113350277
"[0.30, 0.50)",0.3,0.5,specific,3016,CheckAMG-PST,n,19936.0
"[0.30, 0.50)",0.3,0.5,specific,3016,ESM-2,micro_precision,0.7113262439807384
"[0.30, 0.50)",0.3,0.5,specific,3016,ESM-2,macro_precision,0.5760103111401607
"[0.30, 0.50)",0.3,0.5,specific,3016,ESM-2,n,19936.0
"[0.30, 0.50)",0.3,0.5,specific,3016,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.3869883627608347
"[0.30, 0.50)",0.3,0.5,specific,3016,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.37916089980513296
"[0.30, 0.50)",0.3,0.5,specific,3016,ESM-2 minus CheckAMG-PST,n,19936.0
"[0.50, 0.90)",0.5,0.9,category,3,CheckAMG-PST,micro_precision,0.9001629448959305
"[0.50, 0.90)",0.5,0.9,category,3,CheckAMG-PST,macro_precision,0.8454723330196615
"[0.50, 0.90)",0.5,0.9,category,3,CheckAMG-PST,n,97579.0
"[0.50, 0.90)",0.5,0.9,category,3,ESM-2,micro_precision,0.9895981717377714
