tool	seq_type	value	ecdf
DRAM-V	Mixed metagenomes	275	0.21897598
DRAM-V	Mixed metagenomes	276	0.21947592
DRAM-V	Mixed metagenomes	276	0.21997587
DRAM-V	Mixed metagenomes	277	0.22047581
DRAM-V	Mixed metagenomes	277	0.22097576
DRAM-V	Mixed metagenomes	277	0.2214757
DRAM-V	Mixed metagenomes	278	0.22197564
DRAM-V	Mixed metagenomes	278	0.22247559
DRAM-V	Mixed metagenomes	278	0.22297554
DRAM-V	Mixed metagenomes	279	0.22347547
DRAM-V	Mixed metagenomes	279	0.22397542
DRAM-V	Mixed metagenomes	279	0.22447537
DRAM-V	Mixed metagenomes	280	0.2249753
DRAM-V	Mixed metagenomes	280	0.22547525
DRAM-V	Mixed metagenomes	280	0.2259752
DRAM-V	Mixed metagenomes	280	0.22647513
DRAM-V	Mixed metagenomes	280	0.22697508
DRAM-V	Mixed metagenomes	281	0.22747503
DRAM-V	Mixed metagenomes	281	0.22797497
DRAM-V	Mixed metagenomes	281	0.22847492
DRAM-V	Mixed metagenomes	281	0.22897486
DRAM-V	Mixed metagenomes	281	0.2294748
DRAM-V	Mixed metagenomes	281	0.22997475
DRAM-V	Mixed metagenomes	282	0.2304747
DRAM-V	Mixed metagenomes	282	0.23097464
DRAM-V	Mixed metagenomes	282	0.23147458
DRAM-V	Mixed metagenomes	282	0.23197453
DRAM-V	Mixed metagenomes	282	0.23247448
DRAM-V	Mixed metagenomes	282	0.23297441
DRAM-V	Mixed metagenomes	282	0.23347436
DRAM-V	Mixed metagenomes	282	0.23397431
DRAM-V	Mixed metagenomes	282	0.23447424
DRAM-V	Mixed metagenomes	283	0.23497419
DRAM-V	Mixed metagenomes	283	0.23547414
DRAM-V	Mixed metagenomes	283	0.23597407
DRAM-V	Mixed metagenomes	283	0.23647402
DRAM-V	Mixed metagenomes	283	0.23697397
DRAM-V	Mixed metagenomes	283	0.2374739
DRAM-V	Mixed metagenomes	283	0.23797385
DRAM-V	Mixed metagenomes	283	0.2384738
DRAM-V	Mixed metagenomes	283	0.23897374
