function,group,genomes_with_F,group_size,prevalence_per_1000,odds_ratio,p,fdr_q,enriched,biome
Sterol / isoprenoid metabolism,Bacillota,5,106914,0,0.23,0.0011001655559294199,0.00217444486348403,FALSE,gut
Arginine / proline metabolism,Actinomycetota,3,10619,0.3,0.22,0.001585023636784552,0.00304324538262634,FALSE,gut
Cysteine / methionine metabolism,Campylobacterota,4,1329,3,0.22,2.3910294954606202e-4,5.117107710030372e-4,FALSE,gut
Fermentation,Actinomycetota,4,10619,0.4,0.22,0.00018689586528007789,4.131382285138564e-4,FALSE,gut
Benzoate / aromatic carboxylic acid degradation,Actinomycetota,3,10619,0.3,0.21,0.001145229619621271,0.0022371927453066686,FALSE,gut
Calvin-Benson-Bassham (CBB) cycle,Pseudomonadota,7,25865,0.3,0.21,2.072561620940098e-7,6.760977714911388e-7,FALSE,gut
Cobalamin (B12) metabolism,Bacillota,91,106914,0.9,0.21,4.0929115477189965e-57,8.089519294315193e-56,FALSE,gut
Iron reduction,Bacillota,4,106914,0,0.21,0.0017919705582867046,0.003421034702183709,FALSE,gut
Phosphate starvation response,Bacteroidota,25,67194,0.4,0.21,8.111949237378634e-21,5.2415671995369633e-20,FALSE,gut
Phosphatase / phosphate liberation,Bacteroidota,10,67194,0.1,0.2,2.0630793409151147e-9,7.617523720301963e-9,FALSE,gut
Aromatic amino acid metabolism (Phe / Tyr / Trp),Bacteroidota,51,67194,0.8,0.19,7.449806293587796e-45,1.1377885975661362e-43,FALSE,gut
ABC-type transport,Bacteroidota,62,67194,0.9,0.17,4.38141181720223e-65,1.2267953088166243e-63,FALSE,gut
Cysteine / methionine metabolism,Verrucomicrobiota,3,1292,2.3,0.17,6.931252532887977e-5,1.6172922576738612e-4,FALSE,gut
Gluconeogenesis,Pseudomonadota,5,25865,0.2,0.17,3.479035107656668e-7,1.0771186519194924e-6,FALSE,gut
Glycolysis / EMP,Actinomycetota,11,10619,1,0.17,2.589207855343861e-15,1.3181421809023292e-14,FALSE,gut
NAD(P) / nicotinamide metabolism,Actinomycetota,12,10619,1.1,0.17,3.376286100242221e-17,1.8297292414215908e-16,FALSE,gut
Pyruvate metabolism,Actinomycetota,4,10619,0.4,0.17,2.394183013624525e-6,7.056539408577547e-6,FALSE,gut
Cysteine / methionine metabolism,Fusobacteriota,10,4713,2.1,0.16,3.2907203813325387e-16,1.7550508700440206e-15,FALSE,gut
Cysteine / methionine metabolism,Pseudomonadota,61,25865,2.4,0.16,9.123267946859127e-85,5.1090300502411116e-83,FALSE,gut
Formaldehyde oxidation / fixation,Bacteroidota,23,67194,0.3,0.16,2.294664515667439e-27,1.9769417365750245e-26,FALSE,gut
Iron uptake / siderophore / Fe homeostasis,Actinomycetota,3,10619,0.3,0.16,3.914266378491902e-5,9.394239308380563e-5,FALSE,gut
Amino-acid / peptide transport,Bacteroidota,3,67194,0,0.15,6.28824295524831e-5,1.4846320372531656e-4,FALSE,gut
Ammonia assimilation (GS-GOGAT),Pseudomonadota,4,25865,0.2,0.15,2.3913574045593223e-7,7.652343694589832e-7,FALSE,gut
Lipid degradation,Bacteroidota,4,67194,0.1,0.15,2.5106955377325613e-6,7.27235948860466e-6,FALSE,gut
Sugar transport,Bacteroidota,3,67194,0,0.15,1.0146482246731257e-4,2.3191959421100015e-4,FALSE,gut
Wood-Ljungdahl pathway / homoacetogenesis,Bacillota,3,106914,0,0.15,1.9232122719027876e-4,4.1960995023333547e-4,FALSE,gut
Methanotrophy / methane oxidation,Bacteroidota,18,67194,0.3,0.14,5.031706003238941e-26,4.1235444319226445e-25,FALSE,gut
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Pseudomonadota,41,25865,1.6,0.14,7.967093749906797e-68,2.433584999971531e-66,FALSE,gut
Alanine / aspartate / glutamate metabolism,Pseudomonadota,17,25865,0.7,0.13,6.926568059430294e-34,7.757756226561929e-33,FALSE,gut
NAD(P) / nicotinamide metabolism,Fusobacteriota,4,4713,0.8,0.13,3.417170619378199e-9,1.2480101392511684e-8,FALSE,gut
Alanine / aspartate / glutamate metabolism,Actinomycetota,6,10619,0.6,0.12,9.860713183159607e-15,4.872352396384747e-14,FALSE,gut
CAZy: polysaccharide lyase (PL),Bacillota,9,106914,0.1,0.12,3.459083328006649e-14,1.6369746453665266e-13,FALSE,gut
Thiamine metabolism,Pseudomonadota,10,25865,0.4,0.12,2.9720838320984657e-21,1.997240335170169e-20,FALSE,gut
Thiamine metabolism,Bacteroidota,28,67194,0.4,0.11,4.010838345677711e-59,8.422760525923193e-58,FALSE,gut
ABC transporters,Bacteroidota,5,67194,0.1,0.1,1.3851814969937359e-12,6.044428350518119e-12,FALSE,gut
Starch,Pseudomonadota,7,25865,0.3,0.09,7.98507473191769e-22,5.589552312342383e-21,FALSE,gut
Glycerolipid / glycerophospholipid metabolism,Bacteroidota,5,67194,0.1,0.07,1.0599031463428106e-19,6.594952910577488e-19,FALSE,gut
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Bacteroidota,56,67194,0.8,0.06,6.092159588418296e-255,1.0234828108542737e-252,FALSE,gut
PAH / polycyclic aromatic degradation,Bacteroidota,9,67194,0.1,0.06,1.158736364402696e-38,1.5573416737572233e-37,FALSE,gut
Sulfur amino acid metabolism,Bacteroidota,5,67194,0.1,0.06,2.016389256882364e-24,1.5397881598010778e-23,FALSE,gut
Aromatic / xenobiotic degradation (other),Bacillota,4,106914,0,0.05,3.643376781794235e-20,2.309763393741251e-19,FALSE,gut
Reactive oxygen species detoxification,Bacillota,11,106914,0.1,0.04,1.0971221247561323e-61,2.4575535594537362e-60,FALSE,gut
