function,group,genomes_with_F,group_size,prevalence_per_1000,odds_ratio,p,fdr_q,enriched,biome
Plant / glucosinolate / mycotoxin secondary metabolites,Pseudomonadota,3,25865,0.1,1.42,0.47968418996910644,0.5576951135973003,FALSE,gut
3HP / 4HB / DC4HB cycle,Pseudomonadota,28,25865,1.1,1.39,0.13045032659279024,0.1818726545028113,FALSE,gut
Aromatic amino acid metabolism (Phe / Tyr / Trp),Actinomycetota,42,10619,4,1.37,0.05386550859357112,0.08264297208876664,FALSE,gut
Formaldehyde oxidation / fixation,Fusobacteriota,10,4713,2.1,1.37,0.34503830073796693,0.41110946470906695,FALSE,gut
Photosynthesis,Pseudomonadota,5,25865,0.2,1.35,0.5826251530195836,0.654385312130113,FALSE,gut
Nitrogen fixation,Bacillota,10,106914,0.1,1.34,0.6393709017096088,0.6997675015453698,FALSE,gut
Fermentation,Bacteroidota,133,67194,2,1.33,0.010011537083887892,0.017339569382403774,FALSE,gut
Nitroaromatic / nitrotoluene degradation,Pseudomonadota,4,25865,0.2,1.32,0.5483457240142771,0.6224464975297199,FALSE,gut
Fermentation,Pseudomonadota,53,25865,2,1.3,0.08541248311994301,0.12370083762198643,FALSE,gut
TCA cycle,Bacteroidota,51,67194,0.8,1.3,0.14216600035670784,0.19417795170672292,FALSE,gut
Substrate transport (other),Pseudomonadota,310,25865,12,1.29,6.287363977861368e-5,1.4846320372531656e-4,FALSE,gut
Lysine metabolism,Bacteroidota,183,67194,2.7,1.25,0.016833015276235264,0.027861542526182503,FALSE,gut
Fatty acid biosynthesis,Bacteroidota,267,67194,4,1.24,0.004425967593674568,0.007952540703073021,FALSE,gut
Cysteine / methionine metabolism,Patescibacteriota,26,1630,16,1.22,0.3249266444765111,0.3927170954824019,FALSE,gut
Fatty acid degradation (β-oxidation),Actinomycetota,12,10619,1.1,1.21,0.5152765795207396,0.5908973744674693,FALSE,gut
Biotin metabolism,Pseudomonadota,14,25865,0.5,1.19,0.5379178323700173,0.6126792938180536,FALSE,gut
Pyruvate metabolism,Bacillota,248,106914,2.3,1.19,0.06502653556435484,0.09710629310943657,FALSE,gut
Aminotransferase / transamination,Bacteroidota,113,67194,1.7,1.17,0.17155353272833138,0.22783394069849544,FALSE,gut
D-amino acid metabolism,Bacillota,14,106914,0.1,1.16,0.7059816129776897,0.7627325464967967,FALSE,gut
Oxidative phosphorylation / ETC,Bacillota,27,106914,0.3,1.16,0.6776023623390265,0.7368103357472909,FALSE,gut
Lysine metabolism,Bacillota,268,106914,2.5,1.14,0.13521315442264928,0.18696139870786072,FALSE,gut
Histidine metabolism,Actinomycetota,5,10619,0.5,1.12,0.8062771876163634,0.8546029496501517,FALSE,gut
Aromatic amino acid metabolism (Phe / Tyr / Trp),Desulfobacterota_I,3,920,3.3,1.11,0.7553781163523828,0.8083026977528682,FALSE,gut
Inorganic ion transport,Bacillota,50,106914,0.5,1.1,0.6878793562949665,0.7455724635971251,FALSE,gut
Pyruvate metabolism,Bacteroidota,153,67194,2.3,1.1,0.31626290714446453,0.3892466549470333,FALSE,gut
Glycolysis,Bacteroidota,61,67194,0.9,1.09,0.5811002242902664,0.654385312130113,FALSE,gut
Methanotrophy / methane oxidation,Fusobacteriota,7,4713,1.5,1.09,0.8404264536697728,0.8824477763532614,FALSE,gut
Riboflavin / FAD metabolism,Bacillota,80,106914,0.7,1.09,0.6340638238630341,0.6985096551409162,FALSE,gut
Lipid degradation,Pseudomonadota,8,25865,0.3,1.06,0.8462709712956815,0.8830653613520155,FALSE,gut
Formaldehyde oxidation / fixation,Pseudomonadota,42,25865,1.6,1.05,0.7379601083998972,0.792187209017142,FALSE,gut
Starch,Bacillota,283,106914,2.6,1.05,0.6158560949239613,0.6829295310047888,FALSE,gut
Pyruvate metabolism,Pseudomonadota,57,25865,2.2,1.04,0.7739009187161393,0.8254943132972152,FALSE,gut
Carbohydrate metabolism (other),Bacteroidota,13,67194,0.2,1.03,1,1,FALSE,gut
Wood-Ljungdahl pathway / homoacetogenesis,Pseudomonadota,3,25865,0.1,1.03,1,1,FALSE,gut
Lipid metabolism (other),Bacillota,40,106914,0.4,1.02,1,1,FALSE,gut
Lipoic acid metabolism,Bacteroidota,4,67194,0.1,1.02,0.9999999999999999,1,FALSE,gut
Pantothenate / CoA metabolism,Bacillota,39,106914,0.4,1.02,0.9999999999999999,1,FALSE,gut
Aliphatic hydrocarbon degradation,Bacteroidota,10,67194,0.1,1,1,1,FALSE,gut
Pentose phosphate pathway,Bacillota,407,106914,3.8,1,1,1,FALSE,gut
Pentose phosphate pathway,Actinomycetota,40,10619,3.8,0.99,1,1,FALSE,gut
Lysine metabolism,Campylobacterota,3,1329,2.3,0.96,1,1,FALSE,gut
Polysaccharide / complex carbon degradation,Actinomycetota,48,10619,4.5,0.96,0.8276172784954837,0.8734990712420815,FALSE,gut
Polysaccharide / complex carbon degradation,Bacillota,493,106914,4.6,0.96,0.5347713060584748,0.6111672069239712,FALSE,gut
Sulfur amino acid metabolism,Bacillota,95,106914,0.9,0.95,0.7782620105083692,0.8275190997810506,FALSE,gut
Thiol cofactor metabolism,Pseudomonadota,3,25865,0.1,0.95,0.9999999999999999,1,FALSE,gut
Sugar interconversion,Bacillota,547,106914,5.1,0.94,0.29161098077612624,0.36385415156989115,FALSE,gut
Alanine / aspartate / glutamate metabolism,Bacteroidota,295,67194,4.4,0.93,0.3227706973528378,0.3927170954824019,FALSE,gut
Phosphatase / phosphate liberation,Bacillota,58,106914,0.5,0.93,0.7207140084716769,0.7761535475848828,FALSE,gut
Branched-chain amino acid metabolism (Val/Leu/Ile),Pseudomonadota,10,25865,0.4,0.92,1,1,FALSE,gut
Fermentation,Bacillota,165,106914,1.5,0.9,0.3179410350264319,0.38988389696671943,FALSE,gut
Folate / one-carbon pool metabolism,Fusobacteriota,22,4713,4.7,0.88,0.6126122703115505,0.681581863657884,FALSE,gut
MFS transport,Bacteroidota,64,67194,1,0.87,0.3550693440287826,0.42008204082278505,FALSE,gut
Aminotransferase / transamination,Bacillota,149,106914,1.4,0.86,0.1890711777676068,0.24719033357943923,FALSE,gut
Glycolysis / EMP,Fusobacteriota,23,4713,4.9,0.85,0.49489389665255246,0.573394307845716,FALSE,gut
Arginine / proline metabolism,Bacillota,121,106914,1.1,0.84,0.16540594446807133,0.2214199097261831,FALSE,gut
Inorganic ion transport,Actinomycetota,4,10619,0.4,0.84,1,1,FALSE,gut
Pantothenate / CoA metabolism,Pseudomonadota,8,25865,0.3,0.84,0.8610650794620864,0.8957209495333159,FALSE,gut
Glyoxylate / dicarboxylate metabolism,Fusobacteriota,4,4713,0.8,0.83,1,1,FALSE,gut
PTS / phosphotransferase transport,Pseudomonadota,10,25865,0.4,0.82,0.645497225663276,0.7041787916326647,FALSE,gut
Oxidative phosphorylation / ETC,Pseudomonadota,5,25865,0.2,0.81,0.829304177756619,0.8734990712420815,FALSE,gut
Histidine metabolism,Pseudomonadota,9,25865,0.3,0.8,0.6309318242407677,0.697345700476638,FALSE,gut
Sulfur metabolism (other),Pseudomonadota,6,25865,0.2,0.8,0.8434433894698592,0.8828566319684507,FALSE,gut
Starch,Actinomycetota,22,10619,2.1,0.79,0.32725098089313015,0.3941087081723718,FALSE,gut
NAD(P) / nicotinamide metabolism,Bacteroidota,362,67194,5.4,0.78,3.568371348282344e-5,8.751626080458887e-5,FALSE,gut
Biotin metabolism,Bacillota,43,106914,0.4,0.77,0.20070671629602274,0.26138549099016917,FALSE,gut
Iron uptake / siderophore / Fe homeostasis,Pseudomonadota,34,25865,1.3,0.77,0.16655045196503093,0.2220672692867079,FALSE,gut
Thiamine metabolism,Actinomycetota,23,10619,2.2,0.77,0.2564671686679163,0.32395852884368376,FALSE,gut
Benzoate / aromatic carboxylic acid degradation,Pseudomonadota,26,25865,1,0.76,0.22820148031238877,0.29377661833319013,FALSE,gut
Reductive TCA (rTCA) cycle,Bacillota,27,106914,0.3,0.76,0.32117252636101234,0.3924144322083642,FALSE,gut
Glycine / serine / threonine metabolism,Bacteroidota,96,67194,1.4,0.75,0.013188865804913666,0.022381105608338343,FALSE,gut
Manganese cycling,Bacteroidota,16,67194,0.2,0.74,0.3483669527373757,0.41360882021115986,FALSE,gut
Terpenoid / carotenoid metabolism,Bacteroidota,27,67194,0.4,0.74,0.18062739387606325,0.23800315428375393,FALSE,gut
Glycine / serine / threonine metabolism,Fusobacteriota,6,4713,1.3,0.72,0.5957764213863946,0.66505274945458,FALSE,gut
Lysine metabolism,Pseudomonadota,45,25865,1.7,0.72,0.03364579298388578,0.05409084422289771,FALSE,gut
Aliphatic hydrocarbon degradation,Bacillota,13,106914,0.1,0.7,0.3844023758415525,0.45038503986328043,FALSE,gut
Alkaloid biosynthesis,Bacillota,31,106914,0.3,0.69,0.11599898717150309,0.1630780740151675,FALSE,gut
Oxidative phosphorylation / ETC,Bacteroidota,12,67194,0.2,0.69,0.2931165146318486,0.36385415156989115,FALSE,gut
Branched-chain amino acid metabolism (Val/Leu/Ile),Bacteroidota,21,67194,0.3,0.68,0.13977379477394944,0.19247538952478283,FALSE,gut
Pyridoxal (B6) metabolism,Bacteroidota,15,67194,0.2,0.68,0.2273898408501337,0.29377661833319013,FALSE,gut
Lipoic acid metabolism,Bacillota,5,106914,0,0.67,0.5842726001161722,0.654385312130113,FALSE,gut
Fatty acid biosynthesis,Campylobacterota,3,1329,2.3,0.66,0.6380480576945321,0.6997675015453698,FALSE,gut
Histidine metabolism,Bacteroidota,21,67194,0.3,0.66,0.11528940317954756,0.16276151037112596,FALSE,gut
Polyketide / antibiotic biosynthesis,Bacillota,186,106914,1.7,0.66,8.275469564066449e-6,2.279145716005186e-5,FALSE,gut
ABC-type transport,Actinomycetota,28,10619,2.6,0.65,0.0217743627787111,0.03534389320602382,FALSE,gut
TCA cycle,Bacillota,53,106914,0.5,0.65,0.014210936053172113,0.023874372569329148,FALSE,gut
Aromatic / xenobiotic degradation (other),Pseudomonadota,7,25865,0.3,0.63,0.3247504358290906,0.3927170954824019,FALSE,gut
Polyketide / antibiotic biosynthesis,Bacteroidota,104,67194,1.5,0.62,1.0601709098768831e-5,2.7401340439894825e-5,FALSE,gut
Glycerolipid / glycerophospholipid metabolism,Actinomycetota,5,10619,0.5,0.61,0.36399203300281757,0.42912744943490067,FALSE,gut
Benzoate / aromatic carboxylic acid degradation,Bacillota,102,106914,1,0.6,3.8041034488101906e-5,9.195530638850533e-5,FALSE,gut
3HP / 4HB / DC4HB cycle,Bacillota,64,106914,0.6,0.59,5.848550435624035e-4,0.0011767143391435183,FALSE,gut
Lysine metabolism,Actinomycetota,15,10619,1.4,0.59,0.0393934481817763,0.06214177741350627,FALSE,gut
Pyruvate metabolism,Fusobacteriota,6,4713,1.3,0.59,0.26045686213905134,0.32776593887161515,FALSE,gut
Heme / porphyrin / chlorophyll metabolism,Bacillota,55,106914,0.5,0.58,0.0010033023160964819,0.0020066046321929637,FALSE,gut
Pantothenate / CoA metabolism,Bacteroidota,16,67194,0.2,0.58,0.050895078881244414,0.0784437913032024,FALSE,gut
ABC-type transport,Campylobacterota,3,1329,2.3,0.57,0.505691627422809,0.5820944125313552,FALSE,gut
Calvin-Benson-Bassham (CBB) cycle,Bacillota,91,106914,0.9,0.57,1.0388847414647457e-5,2.7059323498616634e-5,FALSE,gut
Denitrification (NO3 → N2),Bacillota,61,106914,0.6,0.57,3.6249745188680373e-4,7.426777063046711e-4,FALSE,gut
Glycolysis / EMP,Desulfobacterota_I,3,920,3.3,0.57,0.5058677632712968,0.5820944125313552,FALSE,gut
Sugar interconversion,Campylobacterota,4,1329,3,0.57,0.34013227474931873,0.40708396866160657,FALSE,gut
Folate / one-carbon pool metabolism,Campylobacterota,4,1329,3,0.56,0.3404481999818793,0.40708396866160657,FALSE,gut
Polysaccharide / complex carbon degradation,Pseudomonadota,72,25865,2.8,0.56,3.4942241981912104e-7,1.0771186519194924e-6,FALSE,gut
Substrate transport (other),Actinomycetota,59,10619,5.6,0.56,2.5980564293330495e-6,7.461085130392347e-6,FALSE,gut
Substrate transport (other),Bacteroidota,418,67194,6.2,0.56,1.758848694879748e-29,1.7381563572929274e-28,FALSE,gut
Folate / one-carbon pool metabolism,Bacillota,399,106914,3.7,0.55,3.2772101264526794e-23,2.3428566010385113e-22,FALSE,gut
NAD(P) / nicotinamide metabolism,Pseudomonadota,96,25865,3.7,0.54,4.677468158974283e-10,1.8064704613969648e-9,FALSE,gut
Phosphate starvation response,Actinomycetota,8,10619,0.8,0.54,0.08030973877404395,0.11783437654182868,FALSE,gut
