level,category,soil,gut,tot,soil_rate,gut_rate,odds_ratio_soil_gut,log2_OR,p,fdr_q,one_biome_only,enrichment,or_cmh_genecount,log2_OR_cmh_genecount,p_cmh_genecount,fdr_q_cmh_genecount,enrichment_cmh_genecount,degenerate_estimate_genecount,n_strata_genecount,L1_group,n_L1_parents
L2,Sterol / isoprenoid metabolism,96,28,124,0.12503484043730936,0.11763025450145778,1.062955843411496,0.08808166665789516,0.8332219801195785,0.8418118974403989,FALSE,not different,1.475852378016495,0.561548423190653,0.06929012304951832,0.09053909411803726,not different,FALSE,5,Lipid & fatty acid metabolism,1
L2,Substrate transport (other),787,2173,2960,1.0250252023350257,9.128947965416705,0.11137208337450503,-3.1665404441164564,0,0,FALSE,gut-enriched,0.16490960939580518,-2.600252626835145,0,0,gut-enriched,FALSE,5,Metabolic substrate transport,1
L2,Sugar interconversion,6065,1244,7309,7.899336533877929,5.226144164279052,1.5155764680632173,0.5998666448061454,6.005502795854297e-44,2.802567971398672e-43,FALSE,soil-enriched,2.156776291929026,1.1088765430899337,5.581892443607437e-139,4.972958722486625e-138,soil-enriched,FALSE,5,Carbohydrate metabolism,1
L2,Sugar transport,15,48,63,0.019536693818329585,0.2016518648596419,0.09686563441442826,-3.3678712666892467,2.123010033061341e-18,5.074511786341742e-18,FALSE,gut-enriched,0.13955190662365205,-2.841126259571902,2.7798172967254686e-16,7.169002502081472e-16,gut-enriched,FALSE,4,Metabolic substrate transport,1
L2,Sulfur amino acid metabolism,13,202,215,0.016931801309218977,0.8486182646176597,0.019935605708953294,-5.648508749976088,2.4864844685842937e-108,1.7405391280090057e-107,FALSE,gut-enriched,0.027078762021220757,-5.206694406056476,2.555613138837884e-97,1.7889291971865188e-96,gut-enriched,FALSE,5,Sulfur metabolism,1
L2,Sulfur metabolism (other),182,63,245,0.23704521832906564,0.26466807262828,0.8956073415169512,-0.15906174051698685,0.45242834743529964,0.47675245213612216,FALSE,not different,1.3080886984664746,0.38746036996376276,0.07035291865676403,0.09071823721530099,not different,FALSE,5,Sulfur metabolism,1
L2,TCA cycle,132,141,273,0.17192290560130036,0.5923523530251981,0.2901155213488524,-1.7853006122642452,2.116403154315136e-23,5.761319697857871e-23,FALSE,gut-enriched,0.4334715241950398,-1.205990872494363,5.516925568001754e-13,1.1753450123134172e-12,gut-enriched,FALSE,5,Multiple L1 categories,2
L2,Terpenoid / carotenoid metabolism,99,114,213,0.12894217920097528,0.4789231790416495,0.2691392935429482,-1.8935750593116156,6.483059620450341e-21,1.6290765200105985e-20,FALSE,gut-enriched,0.39014594134064534,-1.3579142030569802,2.3667666668614795e-12,4.832148611508854e-12,gut-enriched,FALSE,5,Secondary metabolite metabolism,1
L2,Thiamine metabolism,81,672,753,0.10549814661897977,2.8231261080349865,0.03726769815786756,-4.7459304761220675,8.94e-321,1.75176e-319,FALSE,gut-enriched,0.05668908408481231,-4.140785229789617,3.158350528256728e-244,5.158639196152655e-243,gut-enriched,FALSE,5,Cofactor & vitamin metabolism,1
L2,Thiol cofactor metabolism,35,27,62,0.0455856189094357,0.11342917398354857,0.40185892638706117,-1.315238966422976,7.900613057093552e-4,0.0010905071543593917,FALSE,gut-enriched,0.5684435969937011,-0.8149108880290693,0.031202980933164075,0.04385021042195366,gut-enriched,FALSE,4,Cofactor & vitamin metabolism,1
L2,TonB-dependent / outer membrane transport,4,48,52,0.005209785018221223,0.2016518648596419,0.025830465765890147,-5.274782531913793,8.524561018641627e-26,2.5315363025056954e-25,FALSE,gut-enriched,0.03244971858804199,-4.945650222903059,5.495345917343601e-23,1.682949687186478e-22,gut-enriched,FALSE,5,Metabolic substrate transport,1
L2,Ubiquinone / quinone biosynthesis,30,13,43,0.03907338763665917,0.05461404673281968,0.7154346312750806,-0.4831081398760557,0.3683160332025252,0.39311593227605485,FALSE,not different,1.0072558993259306,0.010430255129937756,0.9826529236873331,0.9853030487940947,not different,FALSE,4,Cofactor & vitamin metabolism,1
L2,Vitamin / cofactor transport,0,54,54,0,0.22685834796709714,0.002843638614965933,-8.458046153574049,1.5864198009633543e-34,5.55246930337174e-34,TRUE,gut-enriched,0.008426826996015982,-6.890794777911633,3.3624167435232005e-24,1.0983894695509121e-23,gut-enriched,TRUE,2,Metabolic substrate transport,1
L2,Wood-Ljungdahl pathway / homoacetogenesis,21,25,46,0.027351371345661422,0.10502701294773016,0.2604020240568403,-1.9411874325381253,1.1154479031131663e-5,1.792031057460497e-5,FALSE,gut-enriched,0.32504859919205586,-1.6212726580643502,1.182158809476554e-4,1.8685736020758434e-4,gut-enriched,FALSE,5,Multiple L1 categories,2
L2,polysaccharide biosynthetic process,16,18,34,0.02083914007288489,0.07561944932236571,0.2755640071607093,-1.8595406323959975,3.151709831721523e-4,4.5421700515986654e-4,FALSE,gut-enriched,0.42301483916902166,-1.2412198215656465,0.018486648187151036,0.027449871550618204,gut-enriched,FALSE,4,Carbohydrate metabolism,1
L1,Amino acid metabolism,9220,7415,16635,12.00855446699992,31.151012040296763,0.37802583139583223,-1.4034432743209817,0,0,FALSE,gut-enriched,0.5365801460699531,-0.8981344202671715,0,0,gut-enriched,FALSE,5,Amino acid metabolism,1
L1,Aromatic & xenobiotic degradation,767,735,1502,0.9989762772439196,3.0877941806632667,0.32284778477979503,-1.6310739668207417,2.644709906782074e-100,6.170989782491507e-100,FALSE,gut-enriched,0.47413546845522175,-1.0766287746969707,3.259636646771145e-48,7.605818842466005e-48,gut-enriched,FALSE,5,Aromatic & xenobiotic degradation,1
L1,Carbohydrate metabolism,10532,3611,14143,13.71736395297648,15.170101750170144,0.9029048906602042,-0.1473540684209399,1.875571327965097e-7,2.1881665492926133e-7,FALSE,not different,1.290124171913527,0.36750992889081174,6.721667676389996e-39,1.0455927496606661e-38,not different,FALSE,5,Carbohydrate metabolism,1
L1,Carbon fixation & C1 metabolism,1692,1101,2793,2.2037390627075775,4.625389650218036,0.47528765278617185,-1.0731271716723958,2.0725221770328614e-76,3.6269138098075073e-76,FALSE,gut-enriched,0.6846053646621648,-0.5466554973377755,8.93516054477505e-23,9.622480586680822e-23,not different,FALSE,5,Carbon fixation & C1 metabolism,1
L1,Cofactor & vitamin metabolism,7753,4463,12216,10.097865811567285,18.749422351428787,0.5338624409688895,-0.9054600407977893,2.4902548954355623e-225,1.1621189512032625e-224,FALSE,gut-enriched,0.7767112431700381,-0.36454974525590333,2.1913738639111754e-39,3.834904261844557e-39,not different,FALSE,5,Cofactor & vitamin metabolism,1
L1,Energy metabolism,3734,2177,5911,4.863334314509512,9.145752287488342,0.5294704633553946,-0.9173778895351813,3.879345689394189e-114,1.0862167930303729e-113,FALSE,gut-enriched,0.7595416668690174,-0.3967989847532292,3.4295035334324856e-24,4.0010874556712334e-24,not different,FALSE,5,Energy metabolism,1
L1,Lipid & fatty acid metabolism,5729,1226,6955,7.461714592347347,5.150524714956687,1.4521024737157433,0.5381432667668491,1.2867395811444867e-34,1.6376685578202557e-34,FALSE,not different,2.107173858729327,1.0753093529681235,1.4319475729281373e-130,5.011816505248481e-130,soil-enriched,FALSE,5,Lipid & fatty acid metabolism,1
L1,Metabolic substrate transport,1210,3041,4251,1.57595996801192,12.775485854961897,0.12197439076980886,-3.0353498174899567,0,0,FALSE,gut-enriched,0.1803897897956863,-2.470810411659882,0,0,gut-enriched,FALSE,5,Metabolic substrate transport,1
L1,Nitrogen metabolism,1451,435,1886,1.8898495153597488,1.8274700252905047,1.0341989746838756,0.04851377963107615,0.5509167168692304,0.5509167168692304,FALSE,not different,1.4992454480301933,0.5842365925374065,1.0768376509049502e-13,1.0768376509049502e-13,not different,FALSE,5,Nitrogen metabolism,1
L1,Other inorganic element cycling,578,515,1093,0.7528139351329667,2.163556466723241,0.347460822006675,-1.525077779160942,4.623985555788969e-64,7.192866420116175e-64,FALSE,gut-enriched,0.5011674550384123,-0.9966353633464271,5.870454627692206e-30,7.471487707971898e-30,gut-enriched,FALSE,5,Other inorganic element cycling,1
L1,Oxygen metabolism,218,282,500,0.28393328349305663,1.1847047060503961,0.23944992403380566,-2.0622041170126306,2.065389396930156e-55,2.8915451557022184e-55,FALSE,gut-enriched,0.36344848497591753,-1.4601772031953155,1.710453117276959e-32,2.3946343641877424e-32,gut-enriched,FALSE,5,Oxygen metabolism,1
L1,Phosphorus metabolism,2232,553,2785,2.9070600401674427,2.323197526403791,1.252051226423124,0.3242935899021021,1.559716889343206e-6,1.6796951116003756e-6,FALSE,not different,1.8711215999704,0.9039033191204878,2.4305833287826926e-40,4.861166657565385e-40,soil-enriched,FALSE,5,Phosphorus metabolism,1
L1,Secondary metabolite metabolism,5139,664,5803,6.693271302159716,2.789517463891713,2.4088668878546518,1.2683546735523585,1.4308884502794179e-124,5.008109575977962e-124,FALSE,soil-enriched,3.4720695213639012,1.7957958352025516,3.268746896895182e-225,1.525415218551085e-224,soil-enriched,FALSE,5,Secondary metabolite metabolism,1
L1,Sulfur metabolism,395,456,851,0.5144662705493458,1.915692716166598,0.268177151486192,-1.8987417690609114,1.6441204100123682e-78,3.2882408200247364e-78,FALSE,gut-enriched,0.3799770295786979,-1.3960158876852196,2.161209757327007e-48,6.05138732051562e-48,gut-enriched,FALSE,5,Sulfur metabolism,1
