category_L2,gut,soil,tot,soil_rate,gut_rate,p,one_biome_only,odds_ratio_soil_gut,log2_OR,fdr_q,enrichment,n_L1_parents,L1_group,n_strata_genecount,or_cmh_genecount,p_cmh_genecount,degenerate_estimate_genecount,log2_OR_cmh_genecount,fdr_q_cmh_genecount,enrichment_cmh_genecount,neglog10q,sig
Reductive TCA (rTCA) cycle,65,1,66,0.0013024462545553057,0.2730702336640984,1.0450732818601364e-39,FALSE,0.0047683420989750236,-7.712296540726535,4.096687264891735e-39,gut-enriched,2,Multiple L1 categories,5,0.0076444270867950005,4.252508323925191e-32,FALSE,-7.03137590210956,1.6028685220948796e-31,gut-enriched,30.795102099898187,TRUE
Riboflavin / FAD metabolism,159,205,364,0.2670014821838377,0.6679718023475638,5.373602806654515e-17,FALSE,0.39955937209224446,-1.32351820009765,1.2246815698887033e-16,gut-enriched,1,Cofactor & vitamin metabolism,5,0.6015486882551752,1.0996265529912824e-6,FALSE,-0.7332465836513107,1.8905860033885208e-6,gut-enriched,5.72340356165109,TRUE
Sphingolipid / ceramide metabolism,18,51,69,0.0664247589823206,0.07561944932236571,0.6707299984908743,FALSE,0.8784003160812867,-0.1870495214085236,0.6847035401261008,not different,1,Lipid & fatty acid metabolism,5,1.1863011153899474,0.6306860393174971,FALSE,0.2464702514873347,0.7023549074217581,not different,0.15344337877413525,FALSE
Starch,588,1340,1928,1.7452779811041097,2.470235344530613,7.0847345839144456e-12,FALSE,0.7060098628920363,-0.5022397569347606,1.4772425302630123e-11,not different,1,Carbohydrate metabolism,5,1.0023288485200235,0.9826291453302014,FALSE,0.0033559120204271825,0.9853030487940947,not different,0.00643017338361744,FALSE
Sterol / isoprenoid metabolism,28,96,124,0.12503484043730936,0.11763025450145778,0.8332219801195785,FALSE,1.062955843411496,0.08808166665789516,0.8418118974403989,not different,1,Lipid & fatty acid metabolism,5,1.475852378016495,0.06929012304951832,FALSE,0.561548423190653,0.09053909411803726,not different,1.0431638551191609,FALSE
Substrate transport (other),2173,787,2960,1.0250252023350257,9.128947965416705,0,FALSE,0.11137208337450503,-3.1665404441164564,0,gut-enriched,1,Metabolic substrate transport,5,0.16490960939580518,0,FALSE,-2.600252626835145,0,gut-enriched,307.6526555685888,TRUE
Sugar interconversion,1244,6065,7309,7.899336533877929,5.226144164279052,6.005502795854297e-44,FALSE,1.5155764680632173,0.5998666448061454,2.802567971398672e-43,soil-enriched,1,Carbohydrate metabolism,5,2.156776291929026,5.581892443607437e-139,FALSE,1.1088765430899337,4.972958722486625e-138,soil-enriched,137.30338514556783,TRUE
Sugar transport,48,15,63,0.019536693818329585,0.2016518648596419,2.123010033061341e-18,FALSE,0.09686563441442826,-3.3678712666892467,5.074511786341742e-18,gut-enriched,1,Metabolic substrate transport,4,0.13955190662365205,2.7798172967254686e-16,FALSE,-2.841126259571902,7.169002502081472e-16,gut-enriched,15.144541268039129,TRUE
Sulfur amino acid metabolism,202,13,215,0.016931801309218977,0.8486182646176597,2.4864844685842937e-108,FALSE,0.019935605708953294,-5.648508749976088,1.7405391280090057e-107,gut-enriched,1,Sulfur metabolism,5,0.027078762021220757,2.555613138837884e-97,FALSE,-5.206694406056476,1.7889291971865188e-96,gut-enriched,95.74740684773877,TRUE
Sulfur metabolism (other),63,182,245,0.23704521832906564,0.26466807262828,0.45242834743529964,FALSE,0.8956073415169512,-0.15906174051698685,0.47675245213612216,not different,1,Sulfur metabolism,5,1.3080886984664746,0.07035291865676403,FALSE,0.38746036996376276,0.09071823721530099,not different,1.0423053973301981,FALSE
TCA cycle,141,132,273,0.17192290560130036,0.5923523530251981,2.116403154315136e-23,FALSE,0.2901155213488524,-1.7853006122642452,5.761319697857871e-23,gut-enriched,2,Multiple L1 categories,5,0.4334715241950398,5.516925568001754e-13,FALSE,-1.205990872494363,1.1753450123134172e-12,gut-enriched,11.929834631307065,TRUE
Terpenoid / carotenoid metabolism,114,99,213,0.12894217920097528,0.4789231790416495,6.483059620450341e-21,FALSE,0.2691392935429482,-1.8935750593116156,1.6290765200105985e-20,gut-enriched,1,Secondary metabolite metabolism,5,0.39014594134064534,2.3667666668614795e-12,FALSE,-1.3579142030569802,4.832148611508854e-12,gut-enriched,11.31585971756454,TRUE
Thiamine metabolism,672,81,753,0.10549814661897977,2.8231261080349865,8.94e-321,FALSE,0.03726769815786756,-4.7459304761220675,1.75176e-319,gut-enriched,1,Cofactor & vitamin metabolism,5,0.05668908408481231,3.158350528256728e-244,FALSE,-4.140785229789617,5.158639196152655e-243,gut-enriched,242.2874648463464,TRUE
Thiol cofactor metabolism,27,35,62,0.0455856189094357,0.11342917398354857,7.900613057093552e-4,FALSE,0.40185892638706117,-1.315238966422976,0.0010905071543593917,gut-enriched,1,Cofactor & vitamin metabolism,4,0.5684435969937011,0.031202980933164075,FALSE,-0.8149108880290693,0.04385021042195366,gut-enriched,1.3580283182643242,TRUE
TonB-dependent / outer membrane transport,48,4,52,0.005209785018221223,0.2016518648596419,8.524561018641627e-26,FALSE,0.025830465765890147,-5.274782531913793,2.5315363025056954e-25,gut-enriched,1,Metabolic substrate transport,5,0.03244971858804199,5.495345917343601e-23,FALSE,-4.945650222903059,1.682949687186478e-22,gut-enriched,21.773928867330117,TRUE
Ubiquinone / quinone biosynthesis,13,30,43,0.03907338763665917,0.05461404673281968,0.3683160332025252,FALSE,0.7154346312750806,-0.4831081398760557,0.39311593227605485,not different,1,Cofactor & vitamin metabolism,4,1.0072558993259306,0.9826529236873331,FALSE,0.010430255129937756,0.9853030487940947,not different,0.00643017338361744,FALSE
Vitamin / cofactor transport,54,0,54,0,0.22685834796709714,1.5864198009633543e-34,TRUE,0.002843638614965933,-8.458046153574049,5.55246930337174e-34,gut-enriched,1,Metabolic substrate transport,2,0.008426826996015982,3.3624167435232005e-24,TRUE,-6.890794777911633,1.0983894695509121e-23,gut-enriched,22.959243639407365,TRUE
Wood-Ljungdahl pathway / homoacetogenesis,25,21,46,0.027351371345661422,0.10502701294773016,1.1154479031131663e-5,FALSE,0.2604020240568403,-1.9411874325381253,1.792031057460497e-5,gut-enriched,2,Multiple L1 categories,5,0.32504859919205586,1.182158809476554e-4,FALSE,-1.6212726580643502,1.8685736020758434e-4,gut-enriched,3.7284897908591144,TRUE
polysaccharide biosynthetic process,18,16,34,0.02083914007288489,0.07561944932236571,3.151709831721523e-4,FALSE,0.2755640071607093,-1.8595406323959975,4.5421700515986654e-4,gut-enriched,1,Carbohydrate metabolism,4,0.42301483916902166,0.018486648187151036,FALSE,-1.2412198215656465,0.027449871550618204,gut-enriched,1.5614596834538979,TRUE
