category_L2,gut,soil,tot,soil_rate,gut_rate,p,one_biome_only,odds_ratio_soil_gut,log2_OR,fdr_q,enrichment,n_L1_parents,L1_group,n_strata_genecount,or_cmh_genecount,p_cmh_genecount,degenerate_estimate_genecount,log2_OR_cmh_genecount,fdr_q_cmh_genecount,enrichment_cmh_genecount,neglog10q,sig
Branched-chain amino acid metabolism (Val/Leu/Ile),95,362,457,0.47148554414902066,0.3991026492013746,0.15263795363318097,FALSE,1.1814496563211883,0.24055815481053333,0.16998317563695153,not different,1,Amino acid metabolism,5,1.6329682293095207,1.4742380265386983e-5,FALSE,0.7074967223977834,2.407922110013207e-5,soil-enriched,4.618357565478401,TRUE
CAZy: auxiliary activity / LPMO (AA),0,51,51,0.0664247589823206,0,1.4165665928215735e-6,TRUE,31.93489619797443,4.997061856032484,2.3529411202799017e-6,soil-enriched,1,Carbohydrate metabolism,5,8.578194900674196,3.5352610458288902e-6,TRUE,3.100674095064377,5.97337211191778e-6,soil-enriched,5.223780429984419,TRUE
CAZy: carbohydrate esterase (CE),138,353,491,0.45976352785802294,0.5797491114714705,0.022361523139482014,FALSE,0.7929435826499096,-0.3347098719929811,0.025781520796108674,not different,1,Carbohydrate metabolism,5,1.2106605713192455,0.05992792945796173,FALSE,0.2757944383479521,0.08045119297096233,not different,1.094467511579064,FALSE
CAZy: polysaccharide lyase (PL),88,662,750,0.8622194205156124,0.36969508557601016,1.675865220518208e-16,FALSE,2.3333944233740094,1.222430192684309,3.732608900245099e-16,soil-enriched,1,Carbohydrate metabolism,5,3.2921806692798463,1.957176391212645e-29,FALSE,1.7190435105839346,7.103825419957009e-29,soil-enriched,28.14850772010121,TRUE
Calvin-Benson-Bassham (CBB) cycle,267,392,659,0.5105589317856799,1.121688498281758,9.56201063249501e-22,FALSE,0.4548916704805863,-1.136405077198599,2.5326406540121916e-21,gut-enriched,1,Carbon fixation & C1 metabolism,5,0.6601675317950967,7.332938385833916e-8,FALSE,-0.5990959088716891,1.3559018147391015e-7,gut-enriched,6.867771758006473,TRUE
Carbohydrate metabolism (other),43,615,658,0.801004446551513,0.18064646227009587,1.4220519827629676e-31,FALSE,4.436852758305332,2.1495366765776898,4.645369810359027e-31,soil-enriched,1,Carbohydrate metabolism,5,6.5333894851468415,1.789382299019418e-42,FALSE,2.707831647934459,8.76797326519515e-42,soil-enriched,41.05710078308369,TRUE
Cobalamin (B12) metabolism,620,1917,2537,2.496789469982521,2.604669921103708,0.36175730268339623,FALSE,0.9584782397090651,-0.06118241606663298,0.39311593227605485,not different,1,Cofactor & vitamin metabolism,5,1.4103868659257353,1.9488575634291945e-13,FALSE,0.49609094489265804,4.547334314668121e-13,not different,12.34224311580186,FALSE
Cysteine / methionine metabolism,3001,680,3681,0.885663453097608,12.607442634245528,0,FALSE,0.06942507884849676,-3.8483992792103203,0,gut-enriched,1,Amino acid metabolism,5,0.09901319396859909,0,FALSE,-3.336235405948452,0,gut-enriched,307.6526555685888,TRUE
D-amino acid metabolism,27,253,280,0.3295189024024924,0.11342917398354857,2.1691127452600522e-9,FALSE,2.9056910135990774,1.5388812973104429,4.087943250682406e-9,soil-enriched,1,Amino acid metabolism,5,4.317098016363756,4.676454902482912e-15,FALSE,2.11006184844371,1.1457314511083134e-14,soil-enriched,13.940917165064205,TRUE
Denitrification (NO3 → N2),205,908,1113,1.1826211991362177,0.8612215061713873,2.615222410560908e-5,FALSE,1.3736323753980266,0.45799594800229365,4.0681237497614124e-5,not different,2,Multiple L1 categories,5,2.046313343484081,5.4888736947559895e-21,FALSE,1.0330270759130773,1.536884634531677e-20,soil-enriched,19.813358731372546,TRUE
