id	db	name	hard_NO_EXCEPTION	soft_NO_EXCEPTION	hard_allow_glycosyl	soft_allow_glycosyl	hard_allow_nucleotide	soft_allow_nucleotide	hard_allow_methyl	soft_allow_methyl	hard_allow_lipid	soft_allow_lipid
K00598	KEGG	tam; trans-aconitate 2-methyltransferase [EC:2.1.1.144]	True	False	False	False	False	False	False	False	False	False
K00599	KEGG	METTL6; tRNA N(3)-methylcytidine methyltransferase METTL6 [EC:2.1.1.-]	True	False	False	False	False	False	False	False	False	False
K00600	KEGG	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	True	False	False	False	False	False	False	False	False	False
K00605	KEGG	gcvT, AMT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]	True	False	False	False	False	False	False	False	False	False
K00606	KEGG	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	True	False	False	False	False	False	False	False	False	False
K00614	KEGG	CSKMT, METTL12; citrate synthase lysine N-methyltransferase [EC:2.1.1.-]	True	False	False	False	False	False	False	False	False	False
K00714	KEGG	WNT8; wingless-type MMTV integration site family, member 8	True	False	False	False	False	False	False	False	False	False
K00783	KEGG	rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	True	False	False	False	False	False	False	False	False	False
K00784	KEGG	rnz; ribonuclease Z [EC:3.1.26.11]	True	False	False	False	False	False	False	False	False	False
K00789	KEGG	metK, MAT; S-adenosylmethionine synthetase [EC:2.5.1.6]	True	False	False	False	False	False	False	False	False	False
K00798	KEGG	MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	True	False	False	False	False	False	False	False	False	False
K00833	KEGG	bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	True	False	False	False	False	False	False	False	False	False
K00910	KEGG	ADRBK, GRK; beta-adrenergic-receptor kinase [EC:2.7.11.15]	True	False	False	False	False	False	False	False	False	False
K00924	KEGG	TMK; receptor protein kinase TMK [EC:2.7.11.1]	True	False	False	False	False	False	False	False	False	False
K00960	KEGG	rpo13; DNA-directed RNA polymerase subunit 13 [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K00985	KEGG	3D; Enterovirus RNA-directed RNA polymerase [EC:2.7.7.48]	True	False	False	False	False	False	False	False	False	False
K00986	KEGG	ltrA; RNA-directed DNA polymerase [EC:2.7.7.49]	True	False	False	False	False	False	False	False	False	False
K00989	KEGG	rph; ribonuclease PH [EC:2.7.7.56]	True	False	False	False	False	False	False	False	False	False
K01064	KEGG	WNT9; wingless-type MMTV integration site family, member 9	True	False	False	False	False	False	False	False	False	False
K01141	KEGG	sbcB, exoI; exodeoxyribonuclease I [EC:3.1.11.1]	True	False	False	False	False	False	False	False	False	False
K01142	KEGG	xthA, xth; exodeoxyribonuclease III [EC:3.1.11.2]	True	False	False	False	False	False	False	False	False	False
K01143	KEGG	exo; Enterobacteriaceae phage exonuclease [EC:3.1.11.3]	True	False	False	False	False	False	False	False	False	False
K01147	KEGG	rnb; exoribonuclease II [EC:3.1.13.1]	True	False	False	False	False	False	False	False	False	False
K01148	KEGG	PARN, PNLDC1; poly(A)-specific ribonuclease [EC:3.1.13.4]	True	False	False	False	False	False	False	False	False	False
K01150	KEGG	endA; deoxyribonuclease I [EC:3.1.21.1]	True	False	False	False	False	False	False	False	False	False
K01151	KEGG	nfo; deoxyribonuclease IV [EC:3.1.21.2]	True	False	False	False	False	False	False	False	False	False
K01152	KEGG	isftu1; isftu1 transposase	True	False	False	False	False	False	False	False	False	False
K01153	KEGG	hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]	True	False	False	False	False	False	False	False	False	False
K01154	KEGG	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]	True	False	False	False	False	False	False	False	False	False
K01155	KEGG	E3.1.21.4; type II restriction enzyme [EC:3.1.21.4]	True	False	False	False	False	False	False	False	False	False
K01156	KEGG	res; type III restriction enzyme [EC:3.1.21.5]	True	False	False	False	False	False	False	False	False	False
K01157	KEGG	rpnA; recombination-promoting nuclease RpnA [EC:3.1.21.-]	True	False	False	False	False	False	False	False	False	False
K01158	KEGG	DNASE2; deoxyribonuclease II [EC:3.1.22.1]	True	False	False	False	False	False	False	False	False	False
K01159	KEGG	ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]	True	False	False	False	False	False	False	False	False	False
K01160	KEGG	rusA; crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]	True	False	False	False	False	False	False	False	False	False
K01161	KEGG	E3.1.25.1; deoxyribonuclease (pyrimidine dimer) [EC:3.1.25.1]	True	False	False	False	False	False	False	False	False	False
K01164	KEGG	POP1; ribonuclease P/MRP protein subunit POP1 [EC:3.1.26.5]	True	False	False	False	False	False	False	False	False	False
K01165	KEGG	RNASEL; ribonuclease L	True	False	False	False	False	False	False	False	False	False
K01166	KEGG	RNASET2; ribonuclease T2 [EC:4.6.1.19]	True	False	False	False	False	False	False	False	False	False
K01167	KEGG	rnaSA; ribonuclease T1 [EC:4.6.1.24]	True	False	False	False	False	False	False	False	False	False
K01168	KEGG	RNASE1_2; pancreatic ribonuclease [EC:4.6.1.18]	True	False	False	False	False	False	False	False	False	False
K01169	KEGG	rna; ribonuclease I (enterobacter ribonuclease) [EC:4.6.1.21]	True	False	False	False	False	False	False	False	False	False
K01170	KEGG	endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]	True	False	False	False	False	False	False	False	False	False
K01171	KEGG	sar; rRNA endonuclease [EC:4.6.1.23]	True	False	False	False	False	False	False	False	False	False
K01172	KEGG	RNASE6_7_8; ribonuclease 6/7/8 [EC:3.1.27.-]	True	False	False	False	False	False	False	False	False	False
K01173	KEGG	ENDOG; endonuclease G, mitochondrial	True	False	False	False	False	False	False	False	False	False
K01174	KEGG	nuc; micrococcal nuclease [EC:3.1.31.1]	True	False	False	False	False	False	False	False	False	False
K01357	KEGG	WNT10; wingless-type MMTV integration site family, member 10	True	False	False	False	False	False	False	False	False	False
K01384	KEGG	WNT11; wingless-type MMTV integration site family, member 11	True	False	False	False	False	False	False	False	False	False
K01558	KEGG	WNT16; wingless-type MMTV integration site family, member 16	True	False	False	False	False	False	False	False	False	False
K01611	KEGG	speD, AMD1; S-adenosylmethionine decarboxylase [EC:4.1.1.50]	True	False	False	False	False	False	False	False	False	False
K01972	KEGG	E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]	True	False	False	False	False	False	False	False	False	False
K02086	KEGG	dnaD; DNA replication protein	True	False	False	False	False	False	False	False	False	False
K02169	KEGG	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]	True	False	False	False	False	False	False	False	False	False
K02188	KEGG	cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	True	False	False	False	False	False	False	False	False	False
K02191	KEGG	cbiT; cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]	True	False	False	False	False	False	False	False	False	False
K02209	KEGG	MCM5, CDC46; DNA replication licensing factor MCM5 [EC:5.6.2.3]	True	False	False	False	False	False	False	False	False	False
K02210	KEGG	MCM7, CDC47; DNA replication licensing factor MCM7 [EC:5.6.2.3]	True	False	False	False	False	False	False	False	False	False
K02212	KEGG	MCM4, CDC54; DNA replication licensing factor MCM4 [EC:5.6.2.3]	True	False	False	False	False	False	False	False	False	False
K02236	KEGG	comC; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	True	False	False	False	False	False	False	False	False	False
K02296	KEGG	ARNTL, BMAL1, CYC; aryl hydrocarbon receptor nuclear translocator-like protein 1	True	False	False	False	False	False	False	False	False	False
K02302	KEGG	cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]	True	False	False	False	False	False	False	False	False	False
K02303	KEGG	cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	True	False	False	False	False	False	False	False	False	False
K02313	KEGG	dnaA; chromosomal replication initiator protein	True	False	False	False	False	False	False	False	False	False
K02314	KEGG	dnaB; replicative DNA helicase [EC:5.6.2.3]	True	False	False	False	False	False	False	False	False	False
K02315	KEGG	dnaC; DNA replication protein DnaC	True	False	False	False	False	False	False	False	False	False
K02316	KEGG	dnaG; DNA primase [EC:2.7.7.101]	True	False	False	False	False	False	False	False	False	False
K02317	KEGG	dnaT; DNA replication protein DnaT	True	False	False	False	False	False	False	False	False	False
K02319	KEGG	pol; DNA polymerase, archaea type [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02320	KEGG	POLA1; DNA polymerase alpha subunit A [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02321	KEGG	POLA2; DNA polymerase alpha subunit B	True	False	False	False	False	False	False	False	False	False
K02322	KEGG	polC; DNA polymerase II large subunit [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02323	KEGG	polB; DNA polymerase II small subunit [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02324	KEGG	POLE; DNA polymerase epsilon subunit 1 [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02325	KEGG	POLE2; DNA polymerase epsilon subunit 2 [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02326	KEGG	POLE3; DNA polymerase epsilon subunit 3 [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02327	KEGG	POLD1; DNA polymerase delta subunit 1 [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02328	KEGG	POLD2; DNA polymerase delta subunit 2	True	False	False	False	False	False	False	False	False	False
K02330	KEGG	POLB; DNA polymerase beta [EC:2.7.7.7 4.2.99.-]	True	False	False	False	False	False	False	False	False	False
K02331	KEGG	POL5, MYBBP1A; DNA polymerase phi [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02332	KEGG	POLG; DNA polymerase gamma 1 [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02333	KEGG	POLG2; DNA polymerase gamma 2	True	False	False	False	False	False	False	False	False	False
K02334	KEGG	dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02335	KEGG	polA; DNA polymerase I [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02336	KEGG	polB; DNA polymerase II [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02337	KEGG	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02338	KEGG	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02339	KEGG	holC; DNA polymerase III subunit chi [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02340	KEGG	holA; DNA polymerase III subunit delta [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02341	KEGG	holB; DNA polymerase III subunit delta' [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02342	KEGG	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02343	KEGG	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02344	KEGG	holD; DNA polymerase III subunit psi [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02345	KEGG	holE; DNA polymerase III subunit theta [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02346	KEGG	dinB; DNA polymerase IV [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02347	KEGG	polX, dpx; DNA polymerase (family X)	True	False	False	False	False	False	False	False	False	False
K02349	KEGG	POLQ; DNA polymerase theta [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02350	KEGG	REV3L, POLZ; DNA polymerase zeta [EC:2.7.7.7]	True	False	False	False	False	False	False	False	False	False
K02374	KEGG	PTPN13, FAP-1; tyrosine-protein phosphatase non-receptor type 13	True	False	False	False	False	False	False	False	False	False
K02405	KEGG	fliA, whiG; RNA polymerase sigma factor FliA	True	False	False	False	False	False	False	False	False	False
K02427	KEGG	rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]	True	False	False	False	False	False	False	False	False	False
K02469	KEGG	gyrA; DNA gyrase subunit A [EC:5.6.2.2]	True	False	False	False	False	False	False	False	False	False
K02470	KEGG	gyrB; DNA gyrase subunit B [EC:5.6.2.2]	True	False	False	False	False	False	False	False	False	False
K02493	KEGG	hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]	True	False	False	False	False	False	False	False	False	False
K02496	KEGG	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	True	False	False	False	False	False	False	False	False	False
K02499	KEGG	yabN; tetrapyrrole methylase family protein / MazG family protein	True	False	False	False	False	False	False	False	False	False
K02516	KEGG	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]	True	False	False	False	False	False	False	False	False	False
K02528	KEGG	ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	True	False	False	False	False	False	False	False	False	False
K02533	KEGG	lasT; tRNA/rRNA methyltransferase [EC:2.1.1.-]	True	False	False	False	False	False	False	False	False	False
K02540	KEGG	MCM2; DNA replication licensing factor MCM2 [EC:5.6.2.3]	True	False	False	False	False	False	False	False	False	False
K02541	KEGG	MCM3; DNA replication licensing factor MCM3 [EC:5.6.2.3]	True	False	False	False	False	False	False	False	False	False
K02542	KEGG	MCM6; DNA replication licensing factor MCM6 [EC:5.6.2.3]	True	False	False	False	False	False	False	False	False	False
K02583	KEGG	NGFR, TNFRSF16, CD271; tumor necrosis factor receptor superfamily member 16	True	False	False	False	False	False	False	False	False	False
K02621	KEGG	parC; topoisomerase IV subunit A [EC:5.6.2.2]	True	False	False	False	False	False	False	False	False	False
K02622	KEGG	parE; topoisomerase IV subunit B [EC:5.6.2.2]	True	False	False	False	False	False	False	False	False	False
K02654	KEGG	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	True	False	False	False	False	False	False	False	False	False
K02683	KEGG	priS, pri1, priA; DNA primase small subunit [EC:2.7.7.102]	True	False	False	False	False	False	False	False	False	False
K02684	KEGG	PRI1; DNA primase small subunit [EC:2.7.7.102]	True	False	False	False	False	False	False	False	False	False
K02685	KEGG	PRI2; DNA primase large subunit	True	False	False	False	False	False	False	False	False	False
K02686	KEGG	priB; primosomal replication protein N	True	False	False	False	False	False	False	False	False	False
K02687	KEGG	prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-]	True	False	False	False	False	False	False	False	False	False
K02861	KEGG	RIPK1, RIP1; receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]	True	False	False	False	False	False	False	False	False	False
K02999	KEGG	RPA1, POLR1A; DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03000	KEGG	RPA12, POLR1H, ZNRD1; DNA-directed RNA polymerase I subunit RPA12	True	False	False	False	False	False	False	False	False	False
K03001	KEGG	RPA14; DNA-directed RNA polymerase I subunit RPA14	True	False	False	False	False	False	False	False	False	False
K03002	KEGG	RPA2, POLR1B; DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03003	KEGG	RPA34; DNA-directed RNA polymerase I subunit RPA34	True	False	False	False	False	False	False	False	False	False
K03004	KEGG	RPA43, POLR1F, TWISTNB; DNA-directed RNA polymerase I subunit RPA43	True	False	False	False	False	False	False	False	False	False
K03005	KEGG	RPA49, POLR1E; DNA-directed RNA polymerase I subunit RPA49	True	False	False	False	False	False	False	False	False	False
K03006	KEGG	RPB1, POLR2A; DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03007	KEGG	RPABC5, RPB10, POLR2L; DNA-directed RNA polymerases I, II, and III subunit RPABC5	True	False	False	False	False	False	False	False	False	False
K03008	KEGG	RPB11, POLR2J; DNA-directed RNA polymerase II subunit RPB11	True	False	False	False	False	False	False	False	False	False
K03009	KEGG	RPABC4, RPB12, POLR2K; DNA-directed RNA polymerases I, II, and III subunit RPABC4	True	False	False	False	False	False	False	False	False	False
K03010	KEGG	RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03011	KEGG	RPB3, POLR2C; DNA-directed RNA polymerase II subunit RPB3	True	False	False	False	False	False	False	False	False	False
K03012	KEGG	RPB4, POLR2D; DNA-directed RNA polymerase II subunit RPB4	True	False	False	False	False	False	False	False	False	False
K03013	KEGG	RPABC1, RPB5, POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	True	False	False	False	False	False	False	False	False	False
K03014	KEGG	RPABC2, RPB6, POLR2F; DNA-directed RNA polymerases I, II, and III subunit RPABC2	True	False	False	False	False	False	False	False	False	False
K03015	KEGG	RPB7, POLR2G; DNA-directed RNA polymerase II subunit RPB7	True	False	False	False	False	False	False	False	False	False
K03016	KEGG	RPABC3, RPB8, POLR2H; DNA-directed RNA polymerases I, II, and III subunit RPABC3	True	False	False	False	False	False	False	False	False	False
K03017	KEGG	RPB9, POLR2I; DNA-directed RNA polymerase II subunit RPB9	True	False	False	False	False	False	False	False	False	False
K03018	KEGG	RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03019	KEGG	RPC11, POLR3K; DNA-directed RNA polymerase III subunit RPC11	True	False	False	False	False	False	False	False	False	False
K03020	KEGG	RPAC2, RPC19, POLR1D; DNA-directed RNA polymerases I and III subunit RPAC2	True	False	False	False	False	False	False	False	False	False
K03021	KEGG	RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03022	KEGG	RPC8, POLR3H; DNA-directed RNA polymerase III subunit RPC8	True	False	False	False	False	False	False	False	False	False
K03023	KEGG	RPC3, POLR3C; DNA-directed RNA polymerase III subunit RPC3	True	False	False	False	False	False	False	False	False	False
K03024	KEGG	RPC7, POLR3G; DNA-directed RNA polymerase III subunit RPC7	True	False	False	False	False	False	False	False	False	False
K03025	KEGG	RPC6, POLR3F; DNA-directed RNA polymerase III subunit RPC6	True	False	False	False	False	False	False	False	False	False
K03026	KEGG	RPC4, POLR3D; DNA-directed RNA polymerase III subunit RPC4	True	False	False	False	False	False	False	False	False	False
K03027	KEGG	RPAC1, RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1	True	False	False	False	False	False	False	False	False	False
K03040	KEGG	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03041	KEGG	rpoA1; DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03042	KEGG	"rpoA2; DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]"	True	False	False	False	False	False	False	False	False	False
K03043	KEGG	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03044	KEGG	rpoB1; DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03045	KEGG	"rpoB2; DNA-directed RNA polymerase subunit B"" [EC:2.7.7.6]"	True	False	False	False	False	False	False	False	False	False
K03046	KEGG	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03047	KEGG	rpoD; DNA-directed RNA polymerase subunit D [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
K03048	KEGG	rpoE; DNA-directed RNA polymerase subunit delta	True	False	False	False	False	False	False	False	False	False
K03049	KEGG	rpoE1; DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]	True	False	False	False	False	False	False	False	False	False
