id	db	name	filter_essential	filter_glucan	filter_lipid	filter_methyl	filter_nucleotide
K00605	KEGG	gcvT, AMT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]	True	False	False	False	False
K00606	KEGG	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	True	False	False	False	False
K00614	KEGG	CSKMT, METTL12; citrate synthase lysine N-methyltransferase [EC:2.1.1.-]	True	False	False	False	False
K00783	KEGG	rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	True	False	False	False	False
K00784	KEGG	rnz; ribonuclease Z [EC:3.1.26.11]	True	False	False	False	False
K00910	KEGG	ADRBK, GRK; beta-adrenergic-receptor kinase [EC:2.7.11.15]	True	False	False	False	False
K00924	KEGG	TMK; receptor protein kinase TMK [EC:2.7.11.1]	True	False	False	False	False
K00989	KEGG	rph; ribonuclease PH [EC:2.7.7.56]	True	False	False	False	False
K01141	KEGG	sbcB, exoI; exodeoxyribonuclease I [EC:3.1.11.1]	True	False	False	False	False
K01142	KEGG	xthA, xth; exodeoxyribonuclease III [EC:3.1.11.2]	True	False	False	False	False
K01143	KEGG	exo; Enterobacteriaceae phage exonuclease [EC:3.1.11.3]	True	False	False	False	False
K01147	KEGG	rnb; exoribonuclease II [EC:3.1.13.1]	True	False	False	False	False
K01148	KEGG	PARN, PNLDC1; poly(A)-specific ribonuclease [EC:3.1.13.4]	True	False	False	False	False
K01150	KEGG	endA; deoxyribonuclease I [EC:3.1.21.1]	True	False	False	False	False
K01151	KEGG	nfo; deoxyribonuclease IV [EC:3.1.21.2]	True	False	False	False	False
K01153	KEGG	hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]	True	False	False	False	False
K01154	KEGG	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]	True	False	False	False	False
K01155	KEGG	E3.1.21.4; type II restriction enzyme [EC:3.1.21.4]	True	False	False	False	False
K01156	KEGG	res; type III restriction enzyme [EC:3.1.21.5]	True	False	False	False	False
K01157	KEGG	rpnA; recombination-promoting nuclease RpnA [EC:3.1.21.-]	True	False	False	False	False
K01158	KEGG	DNASE2; deoxyribonuclease II [EC:3.1.22.1]	True	False	False	False	False
K01159	KEGG	ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]	True	False	False	False	False
K01160	KEGG	rusA; crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]	True	False	False	False	False
K01161	KEGG	E3.1.25.1; deoxyribonuclease (pyrimidine dimer) [EC:3.1.25.1]	True	False	False	False	False
K01164	KEGG	POP1; ribonuclease P/MRP protein subunit POP1 [EC:3.1.26.5]	True	False	False	False	False
K01165	KEGG	RNASEL; ribonuclease L	True	False	False	False	False
K01166	KEGG	RNASET2; ribonuclease T2 [EC:4.6.1.19]	True	False	False	False	False
K01167	KEGG	rnaSA; ribonuclease T1 [EC:4.6.1.24]	True	False	False	False	False
K01168	KEGG	RNASE1_2; pancreatic ribonuclease [EC:4.6.1.18]	True	False	False	False	False
K01169	KEGG	rna; ribonuclease I (enterobacter ribonuclease) [EC:4.6.1.21]	True	False	False	False	False
K01170	KEGG	endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]	True	False	False	False	False
K01171	KEGG	sar; rRNA endonuclease [EC:4.6.1.23]	True	False	False	False	False
K01172	KEGG	RNASE6_7_8; ribonuclease 6/7/8 [EC:3.1.27.-]	True	False	False	False	False
K01173	KEGG	ENDOG; endonuclease G, mitochondrial	True	False	False	False	False
K01174	KEGG	nuc; micrococcal nuclease [EC:3.1.31.1]	True	False	False	False	False
K02169	KEGG	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]	True	False	False	False	False
K02188	KEGG	cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	True	False	False	False	False
K02191	KEGG	cbiT; cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]	True	False	False	False	False
K02236	KEGG	comC; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	True	False	False	False	False
K02296	KEGG	ARNTL, BMAL1, CYC; aryl hydrocarbon receptor nuclear translocator-like protein 1	True	False	False	False	False
K02302	KEGG	cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]	True	False	False	False	False
K02303	KEGG	cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	True	False	False	False	False
K02374	KEGG	PTPN13, FAP-1; tyrosine-protein phosphatase non-receptor type 13	True	False	False	False	False
K02427	KEGG	rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]	True	False	False	False	False
K02493	KEGG	hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]	True	False	False	False	False
K02496	KEGG	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	True	False	False	False	False
K02499	KEGG	yabN; tetrapyrrole methylase family protein / MazG family protein	True	False	False	False	False
K02516	KEGG	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]	True	False	False	False	False
K02528	KEGG	ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	True	False	False	False	False
K02533	KEGG	lasT; tRNA/rRNA methyltransferase [EC:2.1.1.-]	True	False	False	False	False
K02553	KEGG	rraA, menG; regulator of ribonuclease activity A	True	False	False	False	False
K02583	KEGG	NGFR, TNFRSF16, CD271; tumor necrosis factor receptor superfamily member 16	True	False	False	False	False
K02654	KEGG	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	True	False	False	False	False
K02687	KEGG	prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-]	True	False	False	False	False
K02861	KEGG	RIPK1, RIP1; receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]	True	False	False	False	False
K03068	KEGG	LRP5_6; low density lipoprotein receptor-related protein 5/6	True	False	False	False	False
K03110	KEGG	ftsY; fused signal recognition particle receptor	True	False	False	False	False
K03158	KEGG	TNFRSF1A, TNFR1, CD120a; tumor necrosis factor receptor superfamily member 1A	True	False	False	False	False
K03159	KEGG	TNFRSF3, LTBR; lymphotoxin beta receptor TNFR superfamily member 3	True	False	False	False	False
K03160	KEGG	TNFRSF5, CD40; tumor necrosis factor receptor superfamily member 5	True	False	False	False	False
K03171	KEGG	TRADD; tumor necrosis factor receptor type 1-associated DEATH domain protein	True	False	False	False	False
K03172	KEGG	TRAF1; TNF receptor-associated factor 1	True	False	False	False	False
K03173	KEGG	TRAF2; TNF receptor-associated factor 2 [EC:2.3.2.27]	True	False	False	False	False
K03174	KEGG	TRAF3; TNF receptor-associated factor 3	True	False	False	False	False
K03175	KEGG	TRAF6; TNF receptor-associated factor 6 [EC:2.3.2.27]	True	False	False	False	False
K03176	KEGG	NTRK1, TRKA; neurotrophic tyrosine kinase receptor type 1 [EC:2.7.10.1]	True	False	False	False	False
K03183	KEGG	ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	True	False	False	False	False
K03212	KEGG	rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]	True	False	False	False	False
K03214	KEGG	yfiF, trmG; RNA methyltransferase, TrmH family [EC:2.1.1.-]	True	False	False	False	False
K03215	KEGG	rumA; 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]	True	False	False	False	False
K03216	KEGG	trmL, cspR; tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]	True	False	False	False	False
K03218	KEGG	rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]	True	False	False	False	False
K03256	KEGG	TRM6, GCD10; tRNA (adenine58-N1)-methyltransferase non-catalytic subunit	True	False	False	False	False
K03394	KEGG	cobI-cbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]	True	False	False	False	False
K03399	KEGG	cbiE; cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]	True	False	False	False	False
K03427	KEGG	hsdM; type I restriction enzyme M protein [EC:2.1.1.72]	True	False	False	False	False
K03428	KEGG	bchM, chlM; magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]	True	False	False	False	False
K03437	KEGG	spoU; RNA methyltransferase, TrmH family	True	False	False	False	False
K03438	KEGG	mraW, rsmH; 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]	True	False	False	False	False
K03439	KEGG	trmB, METTL1, TRM8; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	True	False	False	False	False
K03469	KEGG	rnhA, RNASEH1; ribonuclease HI [EC:3.1.26.4]	True	False	False	False	False
K03470	KEGG	rnhB; ribonuclease HII [EC:3.1.26.4]	True	False	False	False	False
K03471	KEGG	rnhC; ribonuclease HIII [EC:3.1.26.4]	True	False	False	False	False
K03500	KEGG	rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	True	False	False	False	False
K03501	KEGG	gidB, rsmG; 16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]	True	False	False	False	False
K03536	KEGG	rnpA; ribonuclease P protein component [EC:3.1.26.5]	True	False	False	False	False
K03537	KEGG	POP5; ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5]	True	False	False	False	False
K03538	KEGG	POP4, RPP29; ribonuclease P protein subunit POP4 [EC:3.1.26.5]	True	False	False	False	False
