level,ranking,coverage,precision
specific,calibrated,2.3833925209142695e-5,1
specific,calibrated,0.0025025621469599827,1
specific,calibrated,0.004981290368710823,1
specific,calibrated,0.007460018590461663,1
specific,calibrated,0.009938746812212504,1
specific,calibrated,0.012417475033963343,1
specific,calibrated,0.014896203255714184,1
specific,calibrated,0.017374931477465022,1
specific,calibrated,0.019853659699215865,1
specific,calibrated,0.022332387920966704,1
specific,calibrated,0.024811116142717544,1
specific,calibrated,0.027289844364468383,1
specific,calibrated,0.029768572586219226,1
specific,calibrated,0.032247300807970065,0.9985218033998522
specific,calibrated,0.034726029029720905,0.9986273164035689
specific,calibrated,0.037204757251471744,0.9987187700192185
specific,calibrated,0.039683485473222584,0.9981981981981982
specific,calibrated,0.04216221369497342,0.9977388355002826
specific,calibrated,0.04464094191672426,0.99786438868126
specific,calibrated,0.04711967013847511,0.9974709155285787
specific,calibrated,0.04959839836022595,0.9975973089860644
specific,calibrated,0.05207712658197679,0.9967963386727688
specific,calibrated,0.05455585480372763,0.9960681520314548
specific,calibrated,0.057034583025478466,0.994985374007522
specific,calibrated,0.059513311247229306,0.9951942330796957
specific,calibrated,0.061992039468980145,0.9953863898500577
specific,calibrated,0.06447076769073098,0.9944547134935305
specific,calibrated,0.06694949591248182,0.9946600213599146
specific,calibrated,0.06942822413423266,0.99347751458977
specific,calibrated,0.0719069523559835,0.9933708982432881
specific,calibrated,0.07438568057773434,0.9926305671259211
specific,calibrated,0.07686440879948518,0.9922480620155039
specific,calibrated,0.07934313702123602,0.9918894562931811
specific,calibrated,0.08182186524298687,0.9915525779201865
specific,calibrated,0.08430059346473771,0.991518235793045
specific,calibrated,0.08677932168648855,0.9909365558912386
specific,calibrated,0.08925804990823939,0.9906542056074766
specific,calibrated,0.09173677812999023,0.9898674980514419
specific,calibrated,0.09421550635174107,0.9896281305337719
specific,calibrated,0.09669423457349191,0.9884150850382055
specific,calibrated,0.09917296279524275,0.9882239846190819
specific,calibrated,0.10165169101699359,0.9875732708089098
specific,calibrated,0.10413041923874443,0.9867246509498742
specific,calibrated,0.10660914746049527,0.9859154929577465
specific,calibrated,0.10908787568224611,0.98426917194669
specific,calibrated,0.11156660390399695,0.9833368938261056
specific,calibrated,0.11404533212574779,0.9830721003134796
