band,lo,n,category,L1,specific
0%-30%,0,1170,0.8043,0.5377,0.3419
30%-40%,0.3,4158,0.8492,0.5529,0.342
40%-50%,0.4,15862,0.8607,0.5512,0.3193
50%-60%,0.5,30168,0.8741,0.5501,0.3221
60%-70%,0.6,32464,0.8999,0.5521,0.3443
70%-80%,0.7,23540,0.9201,0.585,0.3894
80%-90%,0.8,11901,0.925,0.6469,0.4659
90%-101%,0.9,14481,0.9226,0.7452,0.5873
