method,level,identity_stratum,n_report,n_assigned,coverage,micro_precision,micro_ci95_lo,micro_ci95_hi,macro_precision,n_distinct_labels
cluster_id90,category,<50%,6879,0,0.0,,,,,0
embedding_calibrated,category,<50%,6879,2352,0.3419101613606629,0.9349489795918368,0.9242557648364429,0.9442236779240551,0.9232722322049836,3
tiered,category,<50%,6879,5397,0.7845617095508068,0.9818417639429312,0.977921486818337,0.9850765762983444,0.9751199113737897,3
embedding_1nn,specific,50-90%,30434,30434,1.0,0.36005783005848724,0.35468277113177793,0.3654682135556514,0.2396235304670684,3912
cluster_id30,specific,50-90%,30434,27884,0.9162121311690872,0.8578754841486157,0.8537276698639453,0.8619247024587662,0.8497758358496438,3180
cluster_id50,specific,50-90%,30434,20037,0.6583755010843136,0.9452013774517143,0.9419639060499426,0.9482681688345772,0.9232498658718303,2974
cluster_id70,specific,50-90%,30434,5772,0.18965630544785436,0.9731462231462231,0.9686505866063573,0.9770124662031241,0.9597093928402922,1645
cluster_id90,specific,50-90%,30434,518,0.017020437668397188,0.974903474903475,0.9575388568133115,0.9852759743538474,0.9702177799447423,293
embedding_calibrated,specific,50-90%,30434,5492,0.18045606887034238,0.9351784413692644,0.9283576727828067,0.941390829430212,0.86167153673956,981
tiered,specific,50-90%,30434,21348,0.7014523230597358,0.9424302042345887,0.9392252340182065,0.9454759713335604,0.9181077765031945,3029
embedding_1nn,L1,50-90%,30434,30434,1.0,0.5662417033580863,0.5606656604506285,0.5718010253606282,0.5331827944444957,28
cluster_id30,L1,50-90%,30434,28110,0.9236380364066504,0.9435076485236571,0.9407476099811994,0.9461464813620483,0.9450011984793188,28
cluster_id50,L1,50-90%,30434,20186,0.6632713412630611,0.9803329039928663,0.9783239870150725,0.9821590313360967,0.9800312673241722,28
cluster_id70,L1,50-90%,30434,5799,0.19054347111782874,0.9899982755647525,0.9870931213342127,0.9922546520049733,0.9882442018638476,27
cluster_id90,L1,50-90%,30434,520,0.017086153643950844,0.9903846153846154,0.977690598210156,0.9958861471266023,0.9794148001756698,23
embedding_calibrated,L1,50-90%,30434,6251,0.20539528159295525,0.9561670132778756,0.9508055253315435,0.9609681637095986,0.9251186516827288,28
tiered,L1,50-90%,30434,28303,0.9299796280475784,0.9432568985619899,0.9405009281840837,0.9458925576931962,0.9440674042542453,28
embedding_1nn,category,50-90%,30434,30434,1.0,0.894032989419728,0.8905250097218039,0.8974415062745208,0.8248268265908051,3
cluster_id30,category,50-90%,30434,28188,0.9262009594532431,0.9945366822761459,0.9936061942149798,0.9953323928973997,0.9901560215724103,3
cluster_id50,category,50-90%,30434,20265,0.6658671222974305,0.9970885763631878,0.9962466464475842,0.9977420776046083,0.9942754342850065,3
cluster_id70,category,50-90%,30434,5814,0.19103634093448119,0.9977640178878568,0.9961778881738457,0.9986927868888784,0.9950575769957091,3
cluster_id90,category,50-90%,30434,520,0.017086153643950844,0.9980769230769231,0.9891880796810493,0.9996604577394226,0.9985569985569986,3
embedding_calibrated,category,50-90%,30434,12427,0.40832621410264835,0.962179126096403,0.9586797453938425,0.9653928451538483,0.9435598432907453,3
tiered,category,50-90%,30434,28766,0.94519287638825,0.9922130292706668,0.9911294603320939,0.993165149061932,0.9857208932849687,3
embedding_1nn,specific,>=90%,4644,4644,1.0,0.5622308354866494,0.5479163250899521,0.5764424740567313,0.3628068710594063,1547
cluster_id30,specific,>=90%,4644,4425,0.9528423772609819,0.8931073446327683,0.8836600720769832,0.9018726505202757,0.8854378006277757,1286
cluster_id50,specific,>=90%,4644,4157,0.8951335055986219,0.9740197257637719,0.9687286968937724,0.9784354537434449,0.9609023750060945,1253
cluster_id70,specific,>=90%,4644,3826,0.8238587424633936,0.9903293256664925,0.9866992656943177,0.9929757161639399,0.9879907208610527,1133
cluster_id90,specific,>=90%,4644,3460,0.7450473729543498,0.9933526011560694,0.990044516984398,0.9955663723819056,0.989159920566467,1054
embedding_calibrated,specific,>=90%,4644,1840,0.3962101636520241,0.9451086956521739,0.9337435487827414,0.9546190958175323,0.9275806640736172,426
tiered,specific,>=90%,4644,4221,0.9089147286821705,0.9715707178393745,0.9661120755480255,0.9761717724428671,0.9564513333426188,1266
embedding_1nn,L1,>=90%,4644,4644,1.0,0.7151162790697675,0.701960909762591,0.7279160464572596,0.650545127603568,28
cluster_id30,L1,>=90%,4644,4443,0.9567183462532299,0.9635381498987171,0.9576140243223249,0.9686613797757208,0.9490017697321865,28
cluster_id50,L1,>=90%,4644,4168,0.8975021533161068,0.9889635316698656,0.985311182025189,0.9917153666338012,0.9753936292037253,28
cluster_id70,L1,>=90%,4644,3829,0.8245047372954349,0.9963436928702011,0.9938716904234224,0.9978207395481162,0.9888040596272694,28
cluster_id90,L1,>=90%,4644,3465,0.7461240310077519,0.9974025974025974,0.9950705974202803,0.9986328913755183,0.9981265220003479,28
embedding_calibrated,L1,>=90%,4644,2024,0.43583118001722654,0.9767786561264822,0.9692583763200329,0.9824924902170773,0.9646189092212003,28
tiered,L1,>=90%,4644,4473,0.9631782945736435,0.9628884417616812,0.9569395193602169,0.968042950423838,0.9484719497617269,28
embedding_1nn,category,>=90%,4644,4644,1.0,0.8987941429801894,0.889787379657095,0.9071416723140393,0.8909581278122888,3
cluster_id30,category,>=90%,4644,4452,0.958656330749354,0.9941599281221922,0.9914563640741297,0.9960114130569065,0.9911528575678075,3
cluster_id50,category,>=90%,4644,4171,0.8981481481481481,0.9983217453847998,0.9965395819027691,0.9991868188306143,0.9973675953947693,3
cluster_id70,category,>=90%,4644,3843,0.8275193798449613,0.9992193598750976,0.9977071594781768,0.9997344819972611,0.99860529986053,3
